ID,First Name,Last Name,Email,Car Make,Car Model,VIN,Manufactured Date,Age of Vehicle
1569,Francis,Barajas,fbarajasfs@theglobeandmail.com,Chevrolet,Corvette,1G6AC5SX4E0734525,1955-01-01,70
1644,Sully,Blaschek,sblaschekhv@biglobe.ne.jp,Chevrolet,Corvette,WAUBF98E78A441980,1957-01-01,68
911,Wylie,O'Loughane,woloughanepa@phpbb.com,Chevrolet,Corvette,1GYS4KEF4DR719222,1961-01-01,64
1113,Renaldo,Cruickshank,rcruickshank34@biblegateway.com,Studebaker,Avanti,1FTSW3A51AE546990,1961-01-01,64
818,Jacki,Oloshkin,joloshkinmp@wp.com,Studebaker,Avanti,1G6DJ577580697873,1962-01-01,63
1501,Corrinne,Cockle,ccockledw@tripod.com,Studebaker,Avanti,1G6DP577X70092695,1962-01-01,63
445,Magnum,Slark,mslarkcc@imageshack.us,Pontiac,Grand Prix,3C6TD4DT0CG848478,1963-01-01,62
512,Jenine,Lindsley,jlindsleye7@networksolutions.com,Studebaker,Avanti,WBAAW33491E553265,1963-01-01,62
1579,Harold,Johnes,hjohnesg2@wunderground.com,Studebaker,Avanti,SCBZB25E11C210997,1963-01-01,62
458,Trumann,Ambresin,tambresincp@dion.ne.jp,Studebaker,Avanti,WAUBFAFL9EN692667,1964-01-01,61
825,Derry,Hourahan,dhourahanmw@upenn.edu,Ford,Galaxie,WDCGG5GB3AF672187,1964-01-01,61
1436,Norrie,Landal,nlandalc3@pcworld.com,Pontiac,Bonneville,1GYFC16229R806179,1965-01-01,60
