ID,First Name,Last Name,Email,Car Make,Car Model,VIN,Manufactured Date,Age of Vehicle
911,Wylie,O'Loughane,woloughanepa@phpbb.com,Chevrolet,Corvette,1GYS4KEF4DR719222,1961-01-01,64
818,Jacki,Oloshkin,joloshkinmp@wp.com,Studebaker,Avanti,1G6DJ577580697873,1962-01-01,63
445,Magnum,Slark,mslarkcc@imageshack.us,Pontiac,Grand Prix,3C6TD4DT0CG848478,1963-01-01,62
512,Jenine,Lindsley,jlindsleye7@networksolutions.com,Studebaker,Avanti,WBAAW33491E553265,1963-01-01,62
458,Trumann,Ambresin,tambresincp@dion.ne.jp,Studebaker,Avanti,WAUBFAFL9EN692667,1964-01-01,61
825,Derry,Hourahan,dhourahanmw@upenn.edu,Ford,Galaxie,WDCGG5GB3AF672187,1964-01-01,61
280,Freeman,Hurdiss,fhurdiss7r@alexa.com,Ford,Galaxie,WBAAZ33493K781066,1966-01-01,59
138,Alano,Lanfranconi,alanfranconi3t@vinaora.com,Pontiac,Bonneville,WAUSF98K39A637521,1967-01-01,58
606,June,Molineaux,jmolineauxgt@nasa.gov,Ford,Fairlane,JTDKDTB3XC1824785,1967-01-01,58
982,Lemmie,Dorkens,ldorkensr9@loc.gov,Ford,Mustang,WAUDGAFL2CA353422,1967-01-01,58
789,Naomi,Nowak,nnowaklw@cisco.com,Pontiac,Firebird,1G6DG5EG5A0352950,1969-01-01,56
965,Brooks,McCane,bmccaneqs@nydailynews.com,Ford,Mustang,3VW4T7AT7EM882912,1969-01-01,56
1053,Elmo,Tabart,etabartt@123-reg.co.uk,Ford,Mustang,19VDE3F37EE500590,1969-01-01,56
604,Carolee,Stadden,cstaddengr@cisco.com,Citroën,SM,WAUVC58E53A773648,1972-01-01,53
718,Hilliard,Longfield,hlongfieldjx@artisteer.com,Chevrolet,Camaro,WBAKF9C54CE524646,1972-01-01,53
33,Morgan,Liversage,mliversagew@usnews.com,Chevrolet,Camaro,3D73M3CL4AG632270,1974-01-01,51
